ID,TIF DISTRICT,PROJECT NAME,ADDRESS,DEVELOPER,PROJECT ID,PROJECT DESCRIPTION,CDC DATE,APPROVED AMOUNT,TOTAL PROJECT COST,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
1492,Lawrence/Kedzie,IGA - CPD - Park 0042 - Kiwanis,3315 W Carmen Av,Chicago Park District,607,An intergovernmental agreement between the City of Chicago and the Chicago Park District,01/13/2011,$475000,$475000,1153208.34312301,1933650.397940519,41.973786461,-87.711991277,"(41.973786461302645, -87.71199127664416)"
1712,53rd Street,IGA - CBE - Kenwood Academy - HS,5015 S Blackstone Av,Chicago Board of Education,1145,An intergovernmental Aggreement between the City of Chicago and the Board of Education,07/06/2011,$60000,$94110,1186813.04651228,1871954.152407077,41.803754791,-87.590383945,"(41.80375479070232, -87.59038394544353)"
1756,Western/Ogden,IGA - CPD - Park 0206 - Altgeld,515 S Washtenaw Av,Chicago Park District,2109,An intergovernmental agreement between the City of Chicago and the Chicago Park District,03/31/2012,$750000,$1762548,1158488.481450452,1897480.510131188,41.874426916,-87.69356713,"(41.874426916420454, -87.69356712985399)"
1606,Englewood Neighborhood,IGA - CBE - Holmes - ES,955 W Garfield Bv,Chicago Board of Education,909,"INTERGOVERNMENTAL AGREEMENT 
BETWEEN THE CITY OF CHICAGO, 
BY AND THROUGH ITS DEPARTMENT OF HOUSING AND ECONOMIC DEVELOPMENT, 
AND THE BOARD OF EDUCATION OF THE CrTY OF CHICAGO 
REGARDING OLIVER WENDELL HOLMES ELEMENTARY",02/07/2012,$3270000,$3427074,1170648.336088636,1868177.890625542,41.793760444,-87.649777851,"(41.793760443682956, -87.64977785113672)"
1788,Near North,IGA - CPD - Park ____ - W Chicago Ave Fieldhouse,410 W Chicago Av,Chicago Park District,2156,WEST CHICAGO AVENUE FIELDHOUSE,11/17/2010,$5000000,$15000000,1173239.770529503,1905688.253490657,41.896634984,-87.639163487,"(41.89663498436125, -87.63916348748795)"
1280,Canal/Congress,Quaker Oats,555 W Monroe St,Monroe Clinton LLC,70,"The project consists of construction of a 17-story, 450,000 square foot office building for use as Quaker Oats' headquarters including 15,000 square feet of retail space.",03/14/2000,$11000000,$88381685,1172558.891231282,1899783.806522353,41.880447909,-87.641838975,"(41.88044790879155, -87.64183897534404)"
1527,Central Loop,Lytton Bldg - Chicago Info Tech Exchange,14 E Jackson Bv,"State CITE, L.L.C.",671,"Located in the Loop, the project consists of rehabilitation of a building for use by information technology companies.  The project renovated 121,000 square feet of office space, 25,000 square feet of retail space, exterior facades, and installation of IT improvements.",02/09/1999,$8000000,$36521000,1176557.491878281,1899045.614676228,41.878332921,-87.627178969,"(41.87833292148672, -87.62717896918168)"
1336,Northwest Industrial Corridor,Merlin Coke,1401 N Cicero Av,"MLRP-Merlin, LLC, with limited joinder by Coca-Cola Enterprises Inc.",159,"Located in the Austin community, the project includes the complete rehabilitation of 209,000 square feet space as a distribution and office facility for Coca-Cola.",02/14/2006,$3225000,$7045345,1144159.234990476,1908913.155480153,41.90608046,-87.745890879,"(41.90608046015144, -87.74589087855617)"
1651,Bronzeville,IGA - CPD - Park 0267 - Dunbar,300 E 31st St,Chicago Park District,1036,An intergovernmental agreement between the City of Chicago and the Chicago Park District,02/05/2010,$1000000,$2000000,1178590.273244363,1884545.28966343,41.838496977,-87.620157381,"(41.83849697715925, -87.62015738145021)"
1448,Central Loop,Oxford House - Hotel Monaco,225 N Wabash Av,Chicago Oxford Associates LP,374,"Located in the Loop, the project includes the redevelopment and renovation of the former Oxford House Hotel as Hotel Monaco.  The hotel will include 191 rooms, a restaurant, and 5,000 square feet of meeting space.  The project also includes public infrastructure improvements.",06/30/1998,$1608871,$27408871,1176808.43827833,1901996.386284472,41.886424333,-87.626168282,"(41.88642433256405, -87.62616828170881)"
500250,Central West,Ellen Gates Starr Park (4264),2306 W Maypole Av,Chicago Park District,,An intergovernmental agreement between the City of Chicago and the Chicago Park District,01/15/2014,$730000,$730000,1160870.307632376,1900992.918867292,41.884016233,-87.684724654,"(41.88401623282712, -87.68472465391713)"
1028,LaSalle Central,United Airlines Headquarters,233 S Wacker Dr,"UAL Corp. and United Airlines, Inc.",788,"Located in the Loop, the project includes renovation of approximately 400,000 square feet of office and lobby space for the United Airlines Headquarters.",09/08/2009,$24389768,$71786650,1174011.901942248,1899107.617348718,41.878560154,-87.636523872,"(41.87856015362371, -87.63652387205532)"
1508,Devon/Sheridan,UG2 - 1401-1405 W Devon,1401 W Devon Av,"Uncommon Ground, Inc., UG2, LLC",625,"Located in the Edgewater community, the project consists of rehabilitation and redevelopment of a 4,000 square foot building as a restaurant and entertainment venue.",06/12/2007,$517234,$2068935,1165764.414244696,1942577.952566954,41.998024743,-87.665563458,"(41.99802474346836, -87.66556345762727)"
1730,Central West,IGA - CPD - Park 0211 - Skinner - Dog Park,1331 W Monroe St,Chicago Park District,2043,An intergovernmental agreement between the City of Chicago and the Chicago Park District,10/11/2011,$465000,$715000,1167401.998870892,1899637.690461369,41.880159412,-87.660778672,"(41.880159411931984, -87.66077867192986)"
1709,Hollywood/Sheridan,IGA - CHA - Judge Fisher Apts,5821 N Broadway,Chicago Housing Authority,1142,An intergovernmental agreement between the City of Chicago and the Chicago Housing Authority,09/08/2011,$296946,$2016540,1167293.969047571,1938811.128659183,41.987655626,-87.660045728,"(41.98765562647958, -87.66004572780321)"
1686,73rd/University,Comer Foundation,7320 S South Chicago Av,Comer Science Education Foundation,1105,"Comer Youth Garden project, located within the Greater Grand Crossing community area, includes a negotiated sale of 1.75 acres of City-owned property to Comer Science and Education Foundation.  The final build out of the you garden included expanding the growing areas, number of hoop houses, constructing a farmer's market area, bike parking, garden storage area, and a wind turbine to assist with garden irrigation.",04/12/2011,$652796,$2160775,1184304.195293257,1856631.780209232,41.761768007,-87.600064253,"(41.76176800706325, -87.60006425294877)"
1274,Central Loop,Dearborn Center,123 S Dearborn St,Dearborn Center LLC,62,"Located in the Loop, the project includes construction of 1.5 million square feet 37-story building and 11-story low-rise building for retail and office.  The building includes 200 space parking garage and 98,000 square feet of retail space.",05/09/2000,$10000000,$337200000,1175998.147152788,1899667.125665104,41.880050994,-87.629214015,"(41.88005099434822, -87.62921401451015)"
1679,63rd/Ashland,IGA - CPD - Park 1008 - Hermitage,5839 S Wood St,Chicago Park District,1071,An intergovernmental agreement between the City of Chicago and the Chicago Park District for development costs for construction of a new playground with a water spray feature to replace the outdated and non-ADA accessible play equipment.,04/13/2011,$400000,$600000,1165393.122530797,1865775.130984154,41.787280023,-87.669116448,"(41.78728002270479, -87.66911644773613)"
1562,Central Loop,Art Institute of Chicago,111 S Michigan Av,Art Institute/Noble Fool,777,"Located in the Loop, the project includes rehabilitation of the first three floors of the Butler Building as a performance theater.",12/31/2001,$1000000,$1000000,1177359.574700742,1899852.102454758,41.880527822,-87.624209466,"(41.880527821930805, -87.62420946585881)"
1388,Central Loop,Fisher Building,343 S Dearborn St,343 S Dearborn II LLC,243,"Located in the Loop, the project includes converting a Daniel Burnham designed building into 184 residential rental units.  The project will also include first-floor retail space totaling approximately 6,275 square feet and second floor office/commercial space totaling approximately 8,200 square feet.  The building will also receive restoration of the facade, repairs and replacement of the terra cotta in the lobby and upper story common areas, replacement of windows, and replacement of all mechanical systems.",10/13/1998,$6600000,$33880973,1176032.097318318,1898609.04203616,41.877146786,-87.629121233,"(41.877146786216336, -87.62912123316899)"
1452,Read/Dunning,Alter Group,6800 W Irving Park Rd,"The Alter Group, Ltd",383,Develop property for light industrial use.,01/21/1992,$300000,$300000,1130321.152452446,1925866.84663694,41.952852245,-87.796334144,"(41.95285224503831, -87.79633414419206)"
1487,111th/Kedzie,Mt Greenwood Walgreens Center,3200 W 111th St,Gendell Partners,599,The project is located in the 111th Kedzie TIF district. The project consists of the redevelopment of the 1.9 acre site at the northwest corner of 111th and Kedzie into a two building of a Walgreens-achored retail center with 73 cars parking lot.,02/19/2008,$1500000,$10733092,1156983.393260757,1830872.988399817,41.691676914,-87.700891901,"(41.69167691352474, -87.70089190059177)"
10739,35th/Halsted,IGA - PBC - Ramova Theater,3518 S Halsted St,Public Building Commission,,An Intergovernmental agreement between the City of Chicago and the Public Building Commission,05/09/2012,$300038,$300038,1171507.19247898,1881440.254272629,41.830134925,-87.646239662,"(41.83013492477298, -87.6462396618267)"
1610,Near North,Parkside Old Town - II,544 W Oak St,"Parkside Nine Phase II, LP",916,"Located in the Near North community, the project entails construction of an 8-story 112-unit rental building.The building includes 39 CHA units, 53 affordable units which are 60% or less of the area median income, 20 market rate units, one commercial space unit, and 77 parking spaces.",02/09/2010,$8216100,$41721331,1172196.032009512,1907097.53314562,41.900525238,-87.642955275,"(41.900525237912476, -87.64295527527149)"
1792,47th/King Drive,Bronzeville Artist Lofts,436 E 47th St,Revere Properties/Three Corners LLC,,"Bronzeville Artist Lofts is located in the Grand Boulevard community.  The project includes acquiring a 33,614 square foot mixed-use building with 12,333 square feet of commercial space on the first floor and residential above. The property will undergo two components of rehabilitation: affordable live/work rental apartments for artists and multi-unit commercial development.",09/11/2012,$1085807,$5961876,1180131.925525074,1873998.519502977,41.809520569,-87.614824016,"(41.809520568844306, -87.61482401603094)"
1544,Hollywood/Sheridan,Hollywood House Apts,5700 N Sheridan Rd,Hollywood House L.P.,725,"The Hollywood House Apartment project is located in the Hollywood/Sheridan TIF district. The housing project consists of the rehabilitation of an existing building, containing 197 rental units and 3200 Square feet of ground floor commercial. 177 units will be affordable.",07/08/2008,$9900000,$36942434,1168565.915957685,1938087.01020861,41.985641095,-87.655388544,"(41.985641095428505, -87.65538854412696)"
501324,Central West,Union Park,1501 W Randolph St,Chicago Park District,,An intergovernmental agreement between the City of Chicago and the Chicago Park District,10/16/2013,$2050000,$2050000,1166435.073827519,1901288.930360344,41.88471128,-87.664281826,"(41.88471127972956, -87.66428182609859)"
